SJA1890-91;SJA2014;HAW1890-56;HAW2014;ORN1890-91;ORN2014;SLA1889-91;SLA2014;NOS1890-91;NOS2014;SWI1889-91;SWI2014;KAM1889-91;KAM2014;KMA1889-1956;KMA2014;KRZ1889-1956;KRZ2014;RYS1889-1956;RYS2014;MSC1889-1956;MSC2014;CMN1891-1956;CMN2014;GWR1889;GWR2014;GWS1889-1956;GWS2014
Hieracium atratum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;0;0;1894;0
Hieracium aurantiacum;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;2122;0;0;0;0;0;2096;0;0;0;0;0
Hieracium bifidum;0;0;0;0;0;0;0;0;1206;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894
Hieracium bupleuroides;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium caesium;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Hieracium caespitosum;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium fritzei;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Hieracium lactucella;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1605;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium murorum;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;1605;1704;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium nigrescens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Hieracium pilosella;0;0;0;0;0;0;0;2360;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium piloselloides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0
Hieracium prenanthoides;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Hieracium villosum;0;0;0;0;1867;1867;0;0;1206;1206;2061;2061;0;0;0;1704;2122;0;0;0;0;0;0;0;1823;1823;1894;1825
Hieracium x brachiatum;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homogyne alpina;0;0;0;0;0;1867;0;0;0;1206;0;2061;2126;0;1704;1704;2122;2122;2503;2500;2410;2410;2096;2096;1823;1823;1894;1894
Huperzia selago;0;0;0;2152;1867;1867;2452;2297;0;0;0;2061;0;2126;1704;1704;2122;0;2503;1990;2410;2251;0;0;0;1823;1894;1894
Hypericum maculatum;0;0;2152;2152;0;1867;0;0;0;1206;0;0;0;0;0;1704;0;0;0;0;0;0;0;0;0;0;0;1825
Hypericum tetrapterum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;0;0;0;0;0;0;0;0;0;1823;0;0;0
Hypochoeris uniflora;0;2210;0;0;0;1867;0;1887;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;2096;0;1823;0;0;0
Jovibarba globifera subsp. globifera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;1894;0
Juncus trifidus;0;0;0;0;1867;1867;0;2423;0;0;2061;2061;2126;0;0;1704;2122;2116;2503;2500;2410;2410;2096;0;0;1823;0;1825
Juniperus communis;0;0;0;0;0;1867;0;2200;0;1206;0;0;0;0;0;0;2122;0;0;0;0;0;2096;0;0;0;0;0
Kernera saxatilis;0;0;0;0;0;0;0;0;1206;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;2096;0;0;0;0
Knautia kitaibelii                             ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;2096;0;0;0;0;0
Larix decidua;0;0;0;0;0;0;0;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Laserpitium latifolium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1700;0;0;0
Leontodon incanus;0;0;0;0;0;0;0;0;1206;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leontodon montanus subsp. pseudotaraxaci;0;0;0;2152;0;0;0;0;1206;1206;0;2061;0;0;1704;0;2122;2122;0;0;2410;2233;2096;2096;1823;0;1894;1825
Leontopodium alpinum;0;0;0;2152;0;0;0;0;1206;1206;2061;0;0;0;1704;1704;2122;0;0;0;0;0;0;0;0;1823;1894;1825
Leucanthemopsis alpina;0;0;0;0;0;0;2452;2452;0;0;0;0;2126;0;1704;0;2122;2122;2503;2500;2410;2410;2096;0;0;0;1894;0
Leucanthemum vulgare;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;2122;0;0;0;0;0;2096;0;1823;1823;0;1894
Leucanthemum waldstenii;0;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0
Ligusticum mutellina;2210;2210;0;0;1867;1867;0;2415;0;1206;0;0;2126;0;1704;1704;2122;2122;2503;2155;2410;2410;2096;2096;0;1823;0;1825
Ligusticum mutellinoides;0;0;2152;2152;0;0;2452;2400;0;0;0;2061;0;2126;0;0;2122;2122;2345;2500;2405;2410;2096;2096;0;0;0;0
Lilium martagon;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Linum catharticum;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Linum perenne subsp. extraaxillare;0;0;2152;2152;1867;0;0;0;0;0;0;2061;0;0;0;1704;2122;0;0;0;0;0;0;0;0;1823;0;0
Listera ovata;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lloydia serotina;2210;2210;2152;2152;0;0;0;0;0;0;1998;2061;0;2126;0;0;2122;2122;2200;2500;2405;2410;2096;2096;1823;1823;1894;0
Lotus corniculatus;0;0;2020;0;0;0;0;0;0;1206;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;1700;1823;0;0
Luzula alpinopilosa;0;2210;0;0;1867;1867;2452;2452;0;0;0;2061;2126;0;0;0;2122;2116;2503;2500;2410;2410;2096;2096;0;0;0;0
Luzula luzulina;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luzula luzuloides;0;0;0;0;0;0;0;0;0;0;1978;2061;0;0;1704;1704;2122;0;0;1800;0;0;2096;0;1700;1823;0;1825
Luzula multiflora;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;0;0;0;0;0;0;2076;0;0;0;0;0
Luzula spicata;2210;0;2152;0;0;0;0;0;0;0;0;0;0;2126;0;0;2122;0;2503;0;2410;2410;0;0;0;0;0;0
Luzula sudetica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;2096;0;0;0;0;0
Luzula sylvatica;0;0;0;0;0;1867;0;0;1206;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0;0
Lycopodium annotinum;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2096;0;0;0;0
Maianthemum bifolium;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Melampyrum pratense;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Melampyrum sylvaticum;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mercurialis perennis;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Microstylis monophyllos;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Minuartia laricifolia subsp. kitaibelii;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Minuartia sedoides;0;0;2152;2152;1867;0;0;2423;1206;0;0;2061;0;2126;0;1704;2122;2122;2503;2500;2410;2410;0;2096;0;1823;1894;1894
Minuartia verna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;2410;2410;0;0;0;1823;1894;1894
Moehringia muscosa;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Moehringia trinervia;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Moneses uniflora;0;0;0;0;1867;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;1894;0
Mycelis muralis;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Myosotis alpestris;0;0;0;2152;0;0;0;0;0;0;0;2061;0;0;0;0;2122;2122;2200;2128;2410;2410;2096;2096;1823;1823;1894;1894
Myosotis sylvatica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;1704;0;0;0;0;0;0;0;0;0;0;0;0
Nardus stricta ;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2218;0;0;0;0;0;0
Omalotheca hoppeana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;2096;0;0;0;0;0
Omalotheca supina;0;0;0;0;1867;0;0;2433;0;0;2061;0;0;0;1704;0;2122;0;2503;2500;2405;2410;2096;2096;0;0;0;0
Omalotheca sylvatica;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oreochloa disticha;2210;2210;2152;2152;1867;1867;2452;2452;0;0;2061;2061;0;2126;0;0;2122;2122;2503;2500;2410;2410;2096;2096;1823;0;1894;0
Orthilia secunda;0;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0;1825
Oxalis acetosella;0;0;0;0;1867;1867;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oxyria digyna;0;0;0;0;1867;0;0;0;0;0;0;0;0;2126;0;0;2122;0;2345;2335;2410;2410;2096;0;0;0;0;0
Oxytropis campestris;0;0;2110;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;1894;0
Oxytropis carpatica;0;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;1823;1823;1894;1894
Oxytropis halleri;0;0;2110;0;0;0;0;0;0;0;2061;2061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Oxytropis pilosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Papaver burseri;0;0;0;0;0;0;1877;0;0;0;0;0;0;0;0;0;2122;2122;2360;0;0;0;2096;0;0;0;1894;0
Paris quadrifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1605;1704;0;0;0;0;0;0;0;0;0;0;0;0
Parnassia palustris;0;0;2152;2152;0;0;0;0;0;0;0;2061;0;0;1704;1704;2122;0;0;0;2140;0;2096;2096;1823;1823;1894;1894
Pedicularis hacquetii;0;0;0;0;0;0;0;0;0;0;2061;2061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Pedicularis oederi;2210;2210;2152;2152;0;0;2452;2235;0;0;2061;2061;0;0;1704;1704;2122;2122;2345;2500;2410;2410;2096;2096;1823;1823;1894;1825
Pedicularis verticillata;2210;0;0;2152;0;0;0;2297;1206;1206;2061;2061;0;2126;0;1704;2122;2122;0;2500;0;2410;0;2096;0;1823;1894;1894
Phegopteris connectilis;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Phleum alpinum subsp. alpinum;2210;0;0;0;1867;1867;0;0;0;0;2061;0;0;0;1704;0;2122;2116;2503;1725;2410;0;2096;0;0;0;0;0
Phleum hirsutum;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;2122;0;0;0;0;0;2096;0;0;0;0;0
Phyteuma orbiculare;0;0;0;2152;0;0;0;0;0;1206;0;2061;0;0;1704;1704;2122;2122;0;0;0;0;2096;2096;1823;1823;1894;1894
Phyteuma spicatum;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Picea abies;0;0;0;0;0;1867;0;2240;0;1206;0;0;0;0;0;1704;0;0;0;0;0;0;0;0;0;1823;0;1825
Pimpinella major;0;0;2020;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0;0
Pimpinella saxifraga;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pinguicula alpina;0;0;0;2152;0;0;0;0;1206;1206;0;0;0;0;1704;1704;2122;0;0;0;0;0;2096;2096;0;1823;0;1825
Pinus cembra;0;0;0;0;0;0;0;1880;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pinus mugo;0;0;0;0;0;1867;0;2240;0;0;1946;2061;2126;0;0;1704;2000;0;0;1725;0;0;2000;2096;0;1823;0;1894
Pinus sylvestris;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Plantago atrata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;2116;0;0;0;0;2096;2096;0;0;0;0
Plantago major;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;2096;0;0;0;1894
Plantanthera bifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0
Poa alpina;2210;2210;0;2152;0;1867;2452;2452;0;1206;2061;2061;0;2126;0;1704;2122;2122;2503;2500;2410;2410;2000;2096;0;1823;1894;1894
Poa annua;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894
Poa chaixii;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;2000;0;0;0;0;0;2000;0;0;0;1894;0
Poa granitica;0;0;2152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Poa laxa;0;0;0;0;1867;0;2452;2452;0;0;0;0;0;2126;0;0;0;0;2503;2500;2405;2410;0;0;0;0;0;0
Poa nemoralis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Polygala amara subsp. brachyptera;0;0;2152;2152;0;0;0;0;0;1206;0;2061;0;0;0;1704;0;2122;0;0;0;0;0;0;0;0;0;0
Polygala vulgaris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;1894;1825
Polygonum bistorta;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Polygonum viviparum;0;0;0;2152;0;0;2452;2238;0;1206;0;2061;2126;2126;1704;1704;2122;2122;2503;2500;2410;2410;2096;0;1823;1823;1894;1894
Polystichum lonchitis;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;2122;2122;0;0;0;0;2096;2096;0;1823;1894;0
Potentilla aurea;0;0;0;0;1867;1867;0;2145;0;0;2061;2061;2126;0;0;1704;2122;2122;2503;2500;2410;2251;2096;2096;1823;1823;1894;1825
Potentilla crantzii;0;0;0;2152;0;0;0;0;0;0;0;2061;0;0;0;0;2122;2122;0;0;2410;2251;2096;2096;1823;1823;0;1825
Potentilla erecta;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Potentilla pusilla;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Potentilla tabernaemontani;0;0;0;0;0;0;0;0;0;0;0;0;0;2126;0;0;2122;2107;0;0;0;0;0;0;0;0;0;0
Prenanthes purpurea;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Primula auricula;0;0;0;2152;0;0;0;0;1206;1206;0;2061;0;0;0;1704;2122;0;0;0;0;0;2096;0;1823;1823;1894;1825
Primula elatior;0;0;0;0;0;0;0;0;0;1206;0;2061;0;0;1704;0;2122;2122;2503;0;0;0;2096;2096;0;1823;1894;0
Primula minima;0;0;0;2152;1867;0;2452;2452;0;0;0;2061;2126;0;0;1704;2122;0;2503;2500;2410;2410;2096;2096;0;0;0;1825
Pritzelago alpina;2210;0;0;0;0;0;0;0;0;0;2061;2061;0;0;0;0;2122;2122;0;0;2410;2286;2096;0;0;1823;1894;0
Prunella vulgaris;0;0;0;0;1867;1867;0;0;0;1206;2061;2061;0;0;1605;1704;2122;0;0;0;0;0;2096;0;1823;1823;1859;1825
Pulmonaria obscura;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pulsatilla alba;2210;2210;0;2152;0;1867;2004;2360;0;0;2061;2061;0;2126;0;1704;2122;2122;2503;0;2410;2410;2096;2096;0;1823;0;0
Pulsatilla vernalis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2170;0;0;0;0;0;0;0
Pyrola carpatica;0;0;0;2152;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pyrola minor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2503;0;0;0;0;0;0;0;0;0
Pyrola rotundifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2096;0;0;0;0
Ranunculus acris;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ranunculus alpestris;2210;2210;0;2152;0;0;2452;0;0;0;2061;2061;0;0;1704;1704;2122;2122;2503;2190;0;2410;2096;2096;0;1823;1894;1825
Ranunculus glacialis;2210;2210;0;0;0;0;2004;2452;0;0;0;0;2126;0;0;0;0;0;2503;2500;2410;2410;0;0;0;0;0;0
Ranunculus oreophilus;0;0;2152;2152;0;0;0;0;0;1206;0;2061;0;0;0;1704;2120;0;0;0;0;0;2096;0;0;1823;0;0
Ranunculus platanifolius;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1800;0;0;0;0;0;0;0;0
Ranunculus pseudomontanus;2210;2210;0;0;0;0;2542;2397;0;0;0;0;0;2126;1704;0;2122;2122;2345;2500;2410;2410;2096;2096;1823;0;1894;1894
Ranunculus repens;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ranunculus thora;0;0;2152;2152;1867;0;0;0;0;0;2061;2061;0;0;0;1704;2122;2122;0;0;0;0;2096;0;0;1823;1894;0
Rhodiola rosea;2210;2210;0;2152;0;0;2452;0;0;0;0;2061;0;2126;1704;0;2122;2122;2503;1725;2410;0;2096;2096;1823;1823;0;1894
Ribes alpinum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0
Ribes petraeum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Rosa pendulina;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rubus caesius;0;0;0;0;0;0;0;1887;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rubus idaeus;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894
Rumex acetosa;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rumex alpestris;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;0;0;0
Rumex alpinus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;2503;1740;0;0;2096;2096;0;0;0;0
Sagina procumbens;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sagina saginoides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;2096;2096;0;0;1894;0
Salix alpina;0;0;2150;2152;0;0;0;2283;0;0;2061;2061;0;0;0;1704;2122;2122;0;0;0;0;2096;0;0;0;1894;1894
Salix herbacea;2210;2210;2152;0;0;0;2452;2423;0;0;0;0;0;2126;0;0;2122;0;2345;2500;2410;2410;2096;0;0;0;1894;1894
Salix myrsinifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;1823;0;1894;0
Salix reticulata;0;0;2152;0;1867;0;0;0;0;0;2061;2061;0;0;1704;1704;2122;2122;0;0;2410;2251;2096;2096;1823;1823;1894;1894
Salix retusa;2210;2210;2152;2152;1867;0;2452;2240;0;0;2061;0;0;2126;1704;0;2122;2122;2503;2500;2290;2233;2096;2096;0;1823;1894;0
Salix silesiaca;0;0;0;2152;1867;1867;0;1887;0;1206;0;0;0;0;1704;1704;0;0;0;1623;0;0;0;0;0;1823;0;1894
Saussurea alpina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;2096;0;0;1823;1894;0
Saussurea pygmaea;0;2210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saxifraga adscendens;2210;0;0;0;0;0;2452;0;0;0;2061;0;0;0;0;0;2122;0;0;0;0;0;2096;0;1823;0;1894;1894
Saxifraga aizoides;2210;0;0;2152;0;0;0;0;0;0;0;0;0;0;1704;1704;2122;2122;0;0;2140;0;2096;2096;1823;1823;1894;1894
Saxifraga androsacea;2210;0;0;0;0;0;0;2360;0;0;0;0;0;0;0;0;2122;0;2200;2500;2410;2410;2096;0;1823;0;1894;0
Saxifraga bryoides;2210;2210;0;0;1867;0;0;0;0;0;0;0;2126;0;0;0;0;0;2503;2500;2410;2410;0;0;0;0;1894;1894
Saxifraga caesia;2210;0;2152;2152;0;0;0;0;0;0;2061;2061;0;0;1704;1704;2122;0;0;0;0;0;2096;0;1823;0;1894;1894
Saxifraga carpatica;2210;0;0;0;0;0;2452;2452;0;0;0;0;0;0;0;0;2122;0;2503;2500;2410;2410;0;0;0;0;1894;0
Saxifraga cernua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;0;0;1894;0
Saxifraga exarata subsp. moschata;2210;2210;2152;2152;1867;0;2452;0;0;0;0;2061;2126;0;0;0;2122;2122;2503;2500;2410;2410;2096;2096;1823;1823;1894;1894
Saxifraga hieracifolia;2210;2210;0;0;1867;0;0;0;0;0;2061;0;0;0;0;0;2122;0;2499;2190;2410;2410;2096;0;0;0;1894;0
Saxifraga oppositifolia;0;0;2152;2152;0;0;0;0;0;0;2061;2061;0;2126;1704;0;2122;2122;2400;2500;2410;2410;2096;2096;1823;1823;1894;1894
Saxifraga paniculata;2210;0;2152;0;0;0;2452;0;1206;1206;0;2061;0;2126;0;1704;2122;2112;0;0;0;0;2096;2096;1823;1823;1894;1894
Saxifraga retusa;0;0;0;0;0;0;2452;0;0;0;0;0;0;2126;0;0;0;0;0;2500;2410;2410;0;0;0;0;0;0
Saxifraga rosacea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saxifraga wahlenbergii;0;0;0;0;0;0;2452;0;0;0;2061;2061;0;0;1704;0;2122;2122;2273;2500;2405;2410;2096;2096;1823;0;0;0
Scabiosa lucida;0;0;0;2152;1867;0;0;0;1206;1206;0;2061;0;0;0;1704;2122;0;0;0;0;0;2096;0;1823;1823;1894;1894
Scrophularia scopolii;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2410;0;0;0;1700;0;0;0
Sedum alpestre;0;0;0;0;0;0;2452;2452;0;0;0;0;2126;0;0;0;2122;0;2345;2500;2405;2410;2096;0;0;0;1894;1894
Sedum atratum;0;0;2152;2152;1867;1867;0;0;0;0;2061;2061;0;0;1704;0;2122;2122;0;0;0;0;2096;2096;1823;0;1894;1894
Sedum telephium subsp. fabaria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1700;0;1894;0
Selaginella selaginoides;0;0;2152;0;0;0;0;0;1206;0;0;0;0;0;1704;1704;2122;2122;0;0;0;0;2096;2096;0;1823;1894;1894
Sempervivum montanum;2210;2210;0;2152;1867;0;0;2397;0;1206;2061;2061;0;0;0;0;2122;0;0;0;2410;0;2096;0;0;0;0;0
Senecio abrotanifolius subsp. carpathicus;2210;2210;0;0;0;0;0;2335;0;0;0;0;0;2126;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Senecio incanus subsp. carniolicus;0;0;0;0;0;0;0;2420;0;0;0;0;0;0;0;0;2122;0;2503;2500;2405;2410;2092;0;0;0;0;0
Senecio integrifolius subsp. capitatus;0;0;0;2152;0;0;2452;2420;0;0;2061;2061;0;0;0;0;2122;2116;0;0;0;0;2096;0;1823;1823;1894;1825
Senecio nemorensis;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;0;0;0;0;0;1740;0;0;0;0;0;1823;0;0
Senecio rivularis;0;0;0;0;0;0;0;0;0;0;1978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Senecio subalpinus;0;0;0;0;0;1867;0;0;1206;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;2096;0;1823;0;0
Seseli libanotis;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sesleria bielzii;0;0;0;2152;0;0;0;0;0;0;0;0;0;0;0;0;2122;2122;0;0;0;0;2096;2096;0;0;0;0
Sesleria sadlerana subsp. tatrae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;1894
Sesleria varia;0;0;0;0;0;0;0;0;1206;1206;0;2061;0;0;1704;1704;2122;2122;0;0;0;0;0;0;0;0;1894;0
Sibbaldia procumbens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2100;0;0;0;0;0;2096;0;0;0;0;0
Silene acaulis;2210;2210;2150;2152;0;0;2452;2440;0;0;0;2061;2126;0;1704;1704;2122;2122;2300;2500;2410;2410;2096;2096;1823;1823;1894;1894
Silene dioica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;2503;0;0;0;2096;0;0;0;0;0
Silene nutans;0;0;2152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Silene pusilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;0;1823;0;0
Silene vulgaris;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;1950;0;0;0;0;0
Soldanella carpatica;2210;2210;0;2152;1867;1867;2452;0;0;1206;2061;2061;0;0;1704;1704;2122;2116;0;2053;2405;2410;2096;2096;1823;1823;1894;1894
