Sla.K90;Sla.C14;Swi.K90;Swi.C14;Kma.K90;Kma.C14;Krz.K90;Krz.C14;Rys.K90;Rys.C14;Msc.K90;Msc.C14;Cmi.K90;Cmi.C14;Gwr.K90;Gwr.C14;Gws.K90;Gws.C14
Cardamine impatiens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cardamine trifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cardaminopsis arenosa                ;0;0;0;0;1704;1704;2112;2122;0;0;0;0;0;2096;0;0;0;1894
Cardaminopsis halleri;0;0;0;2061;0;0;2122;2122;0;0;0;0;0;2096;0;1823;0;1825
Cardaminopsis neglecta;0;0;0;0;0;0;0;0;2503;2500;2410;2410;0;0;0;0;0;0
Carduus defloratus subsp. glaucus;0;0;0;2061;0;0;0;0;0;0;0;0;2019;2096;1823;1823;1894;1894
Carex atrata;0;2240;0;2061;0;0;2071;2122;0;0;0;0;0;2096;1823;1823;1894;1894
Carex bigelowii;0;0;0;0;0;0;0;0;0;0;0;0;0;2096;0;0;0;0
Carex capillaris;0;0;0;2061;1704;1704;2122;0;0;0;0;0;0;0;0;0;0;0
Carex curta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex davalliana;0;0;0;0;1704;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex firma;0;0;0;2061;0;1704;2122;2122;2179;0;0;0;0;2096;1823;1823;1894;1894
Carex fuliginosa;2452;2041;0;0;0;0;2122;2122;2179;0;2410;0;0;0;0;0;0;0
Carex nigra;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;0;0;0
Carex pilulifera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex sempervirens;2452;2240;0;2061;1704;1704;2122;0;0;0;2410;0;0;0;1823;1823;0;1894
Carex sylvatica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carlina acaulis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;1894;1825
Centaurea mollis;0;0;1978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Centaurea scabiosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cerastium alpinum;0;0;0;2061;0;0;0;0;0;2190;0;2410;1976;0;0;0;1894;1894
Cerastium arvense                              ;2452;0;0;0;1704;1704;2122;0;2267;0;0;0;0;2096;1823;0;0;1894
Cerastium arvense subsp. glandulosum;0;0;0;0;0;1704;0;2122;0;2500;0;2410;0;0;0;1823;0;0
Cerastium cerastoides;0;0;0;0;0;0;2122;2122;2345;0;2410;0;0;0;0;0;0;0
Cerastium fontanum;0;0;1978;0;0;0;2116;2116;0;0;0;0;0;0;0;1823;0;1894
Cerastium latifolium;2452;0;0;0;0;0;2122;0;2503;0;0;0;0;0;0;1823;0;0
Cerastium uniflorum;0;0;0;0;0;0;0;0;0;2500;0;2410;0;0;0;0;0;0
Chaerophyllum hirsutum;0;0;0;0;1704;0;0;0;0;0;0;0;0;0;1823;1823;0;0
Chamorchis alpina;0;0;2061;2061;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chrysosplenium alternifolium;0;0;0;0;1704;0;0;2122;0;0;0;0;0;2096;0;0;1670;0
Cicerbita alpina;0;0;0;0;0;0;0;0;0;1725;0;0;0;0;0;0;0;0
Circaea alpina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cirsium erisithales;0;0;0;0;0;0;0;0;0;0;0;0;1905;0;1823;1823;0;0
Cirsium helenioides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0
Clematis alpina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1720;0
Cochlearia tatrae;0;0;0;0;0;0;2058;0;0;0;0;2410;0;0;0;0;0;0
Coeloglossum viride;0;0;0;2061;0;1704;0;2122;0;0;0;0;0;2096;1823;1823;0;0
Corallorhiza trifida;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cortusa matthioli;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cotoneaster integerrimus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crepis jacquinii;0;0;0;0;1704;1704;0;0;0;0;0;0;0;0;1823;1823;1857;1825
Crepis mollis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0;0
Crepis paludosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
