Sla.K90;Sla.C14;Swi.K90;Swi.C14;Kma.K90;Kma.C14;Krz.K90;Krz.C14;Rys.K90;Rys.C14;Msc.K90;Msc.C14;Cmi.K90;Cmi.C14;Gwr.K90;Gwr.C14;Gws.K90;Gws.C14
Phyteuma spicatum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Picea abies;0;2240;0;0;0;1704;0;0;0;0;0;0;0;0;0;1823;0;1825
Pimpinella major;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0;0
Pimpinella saxifraga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pinguicula alpina;0;0;0;0;1704;1704;0;0;0;0;0;0;0;2096;0;1823;0;1825
Pinus cembra;0;1880;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pinus mugo;0;2240;1946;2061;0;1704;1987;0;0;1725;0;0;1900;2096;0;1823;0;1894
Pinus sylvestris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Plantago atrata;0;0;0;0;0;0;0;2116;0;0;0;0;0;2096;0;0;0;0
Plantago major;0;0;0;0;0;0;0;0;0;0;0;0;0;2096;0;0;0;1894
Plantanthera bifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0
Poa alpina;2452;2452;0;2061;0;1704;2122;2122;2503;2500;2410;2410;0;2096;0;1823;0;1894
Poa annua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894
Poa granitica;0;0;0;0;0;0;0;0;2345;0;0;0;0;0;0;0;0;0
Poa chaixii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Poa laxa;2452;2452;0;0;0;0;0;0;2503;2500;0;2410;0;0;0;0;0;0
Poa nemoralis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Polygala amara subsp. brachyptera;0;0;0;2061;0;1704;0;2122;0;0;0;0;0;0;0;0;0;0
Polygala vulgaris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;1825
Polygonum bistorta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Polygonum viviparum;2452;2238;0;2061;1704;1704;2122;2122;2503;2500;2410;2410;0;0;1823;1823;1894;1894
Polystichum lonchitis;0;0;0;0;0;0;2022;2122;0;0;0;0;0;2096;0;1823;0;0
Potentilla aurea;0;2145;0;2061;0;1704;2118;2122;2503;2500;2410;2251;0;2096;1823;1823;0;1825
Potentilla crantzii;0;0;0;2061;0;0;2122;2122;0;0;2410;2251;0;2096;1823;1823;0;1825
Potentilla erecta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Potentilla pusilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Potentilla tabernaemontani;0;0;0;0;0;0;2122;2107;0;0;0;0;0;0;0;0;0;0
Prenanthes purpurea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Primula auricula;0;0;0;2061;0;1704;0;0;0;0;0;0;1900;0;1823;1823;1894;1825
Primula elatior;0;0;0;2061;1704;0;2122;2122;2503;0;0;0;0;2096;0;1823;0;0
Primula minima;2452;2452;0;2061;0;1704;2122;0;2503;2500;2410;2410;0;2096;0;0;0;1825
Pritzelago alpina;0;0;0;2061;0;0;2122;2122;0;0;2410;2286;0;0;0;1823;0;0
Prunella vulgaris;0;0;0;2061;1605;1704;1997;0;0;0;0;0;0;0;1823;1823;1859;1825
Pulmonaria obscura;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pulsatilla alba;2452;2360;0;2061;0;1704;2122;2122;2503;0;2410;2410;0;2096;0;1823;0;0
Pulsatilla vernalis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pyrola carpatica;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pyrola minor;0;0;0;0;0;0;0;0;2503;0;0;0;0;0;0;0;0;0
Pyrola rotundifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;2096;0;0;0;0
Ranunculus acris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ranunculus alpestris;2452;0;0;2061;1704;1704;2122;2122;2503;2190;0;2410;0;2096;0;1823;0;1825
Ranunculus glacialis;2452;2452;0;0;0;0;0;0;2503;2500;2410;2410;0;0;0;0;0;0
Ranunculus oreophilus;0;0;0;2061;0;1704;0;0;0;0;0;0;1980;0;0;1823;0;0
Ranunculus platanifolius;0;0;0;0;0;0;0;0;0;1800;0;0;0;0;0;0;0;0
Ranunculus pseudomontanus;2452;2397;0;0;1704;0;0;2122;2345;2500;2410;2410;0;2096;1823;0;1894;1894
Ranunculus repens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ranunculus thora;0;0;2061;2061;0;1704;0;2122;0;0;0;0;0;0;0;1823;0;0
Rhodiola rosea;2452;0;0;2061;1704;0;2122;2122;2503;1725;2410;0;0;2096;1823;1823;0;1894
Ribes alpinum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0
Ribes petraeum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rosa pendulina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rubus caesius;0;1887;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rubus idaeus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894
Rumex acetosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rumex alpestris;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;0;0;0
Rumex alpinus;0;0;0;0;0;0;2122;0;2503;1740;0;0;0;2096;0;0;0;0
Sagina procumbens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sagina saginoides;0;0;0;0;0;0;0;0;0;0;0;0;0;2096;0;0;0;0
Salix alpina;0;2283;0;2061;0;1704;0;2122;0;0;0;0;0;0;0;0;0;1894
Salix herbacea;2452;2423;0;0;0;0;0;0;2345;2500;2410;2410;0;0;0;0;0;1894
Salix myrsinifolia;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;1823;0;1894;0
Salix reticulata;0;0;0;2061;0;1704;2122;2122;0;0;2410;2251;0;2096;1823;1823;1894;1894
Salix retusa;2452;2240;0;0;0;0;2122;2122;2503;2500;0;2233;0;2096;0;1823;0;0
Salix silesiaca;0;1887;0;0;1704;1704;0;0;0;1623;0;0;0;0;0;1823;0;1894
Saussurea alpina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0
Saussurea pygmaea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saxifraga adscendens;2452;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0;1894
Saxifraga aizoides;0;0;0;0;0;1704;2122;2122;0;0;0;0;0;2096;1823;1823;0;1894
Saxifraga androsacea;0;2360;0;0;0;0;2122;0;2200;2500;2410;2410;0;0;1823;0;0;0
Saxifraga bryoides;0;0;0;0;0;0;0;0;2503;2500;2410;2410;0;0;0;0;0;1894
Saxifraga caesia;0;0;0;2061;0;1704;2122;0;0;0;0;0;0;0;1823;0;0;1894
Saxifraga carpatica;2452;2452;0;0;0;0;0;0;2503;2500;2410;2410;0;0;0;0;0;0
Saxifraga cernua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saxifraga exarata subsp. moschata;2452;0;0;2061;0;0;2122;2122;2503;2500;2410;2410;0;2096;1823;1823;0;1894
Saxifraga hieracifolia;0;0;0;0;0;0;2122;0;0;2190;2410;2410;0;0;0;0;0;0
Saxifraga oppositifolia;0;0;1998;2061;1704;0;2122;2122;2400;2500;2410;2410;0;2096;1823;1823;0;1894
Saxifraga paniculata;2452;0;0;2061;0;1704;2094;2112;0;0;0;0;0;2096;1823;1823;0;1894
Saxifraga retusa;2452;0;0;0;0;0;0;0;0;2500;2410;2410;0;0;0;0;0;0
Saxifraga rosacea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saxifraga wahlenbergii;2452;0;0;2061;1704;0;2122;2122;2273;2500;0;2410;0;2096;1823;0;0;0
Scabiosa lucida;0;0;0;2061;0;1704;0;0;0;0;0;0;0;0;1823;1823;1894;1894
Scrophularia scopolii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1700;0;0;0
Sedum alpestre;2452;2452;0;0;0;0;2122;0;2345;2500;0;2410;0;0;0;0;0;1894
Sedum atratum;0;0;0;2061;1704;0;2118;2122;0;0;0;0;2096;2096;1823;0;1894;1894
Sedum telephium subsp. fabaria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1700;0;0;0
Selaginella selaginoides;0;0;0;0;1704;1704;2122;2122;0;0;0;0;2096;2096;0;1823;0;1894
Sempervivum montanum;0;2397;0;2061;0;0;2113;0;0;0;2410;0;0;0;0;0;0;0
Senecio abrotanifolius subsp. carpathicus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Senecio incanus subsp. carniolicus;0;2420;0;0;0;0;2122;0;2503;2500;0;2410;2092;0;0;0;0;0
Senecio integrifolius subsp. capitatus;0;2420;0;2061;0;0;0;2116;0;0;0;0;0;0;1823;1823;1894;1825
Senecio nemorensis;0;0;0;0;0;0;0;0;0;1740;0;0;0;0;0;1823;0;0
Senecio rivularis;0;0;1978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Senecio subalpinus;0;0;0;0;0;0;0;0;0;0;0;0;0;2096;0;1823;0;0
Seseli libanotis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sesleria bielzii;0;0;0;0;0;0;0;2122;0;0;0;0;0;2096;0;0;0;0
Sesleria sadlerana subsp. tatrae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;1894
Sesleria varia;0;0;0;2061;1704;1704;2122;2122;0;0;0;0;0;0;0;0;0;0
Sibbaldia procumbens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Silene acaulis;2452;2440;0;2061;1704;1704;2122;2122;2300;2500;2410;2410;0;2096;1823;1823;1894;1894
Silene dioica;0;0;0;0;0;0;2079;0;2503;0;0;0;0;0;0;0;0;0
Silene nutans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Silene pusilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0
Silene vulgaris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Soldanella carpatica;2452;0;0;2061;1704;1704;2122;2116;0;2053;0;2410;0;2096;1823;1823;1894;1894
Solidago virgaurea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Solidago virgaurea subsp. minuta;2452;2143;0;2061;1704;1704;2022;0;2503;1765;2410;2188;0;0;1823;1823;0;1825
Sorbus aria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sorbus aucuparia subsp. glabrata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0
Stellaria nemorum;0;0;0;0;0;0;0;2116;2503;1740;0;0;0;2096;0;0;0;0
Swertia perennis;2452;0;0;2061;0;1704;2122;2122;0;0;2410;0;0;2096;1823;1823;1894;1894
Taraxacum officinale;0;0;0;0;1704;1704;0;0;0;0;0;0;0;0;0;0;0;1894
Taraxacum Sect. Alpina;0;0;0;2061;0;0;0;2122;0;2500;0;2410;0;2096;0;1823;0;0
Taraxacum Sect. Erythrosperma;2452;0;0;0;0;0;2122;0;2503;0;2410;0;0;0;0;0;0;0
Thalictrum aquilegiifolium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thalictrum minus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thesium alpinum;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;1823;1823;1858;1825
Thymus alpestris;0;0;0;0;0;0;0;0;0;0;0;2410;0;0;0;1823;0;0
Thymus pulcherrimus;0;0;0;2061;0;1704;0;2122;0;0;0;0;0;2096;0;0;0;1894
Thymus pulegioides;0;0;0;0;1704;0;2122;0;0;0;0;0;0;0;1823;0;1894;1894
Tofieldia calyculata;0;0;0;0;1704;1704;0;0;0;0;0;0;0;0;0;1823;0;1894
Traunsteinera globosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;1825
Trifolium badium;0;0;1978;0;0;1704;0;0;0;0;0;0;0;0;0;0;0;1825
Trifolium pratense ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0
Trifolium repens;0;0;1978;2061;1704;1704;0;0;0;0;0;0;0;0;0;0;0;0
Trisetum alpestre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trisetum fuscum;0;0;0;0;0;0;0;0;2503;0;0;0;0;0;0;0;0;0
Trollius europaeus;0;0;0;0;0;0;2122;0;0;0;0;0;0;2096;0;0;0;0
Trollius europaeus subsp. transsilvanicus;0;0;0;0;0;0;0;2116;0;0;0;0;0;0;0;0;0;0
Tussilago farfara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;1825
Urtica dioica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1700;1823;0;1825
Vaccinium myrtillus;0;2333;0;0;1704;1704;2122;2116;0;2500;0;2188;0;2096;1823;1823;0;1825
Vaccinium uliginosum;0;0;0;0;0;1704;2122;0;0;0;0;0;0;0;1823;0;0;0
Vaccinium vitis-idaea;0;2240;0;2061;1704;1704;2122;2116;0;2500;0;2188;0;2096;1823;1823;0;1825
Vaccinum uliginosum subsp. microphyllum;0;2223;0;2061;0;0;0;0;0;2053;0;0;0;0;0;1823;0;0
Valeriana officinalis subsp. sambucifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Valeriana tripteris;0;0;1978;0;0;0;0;0;2503;1725;0;0;0;0;1823;0;1894;0
Veratrum lobelianum;2452;0;0;2061;0;0;0;0;2503;1840;2410;1920;0;0;0;1823;0;0
Veronica alpina;2452;2366;0;0;1704;0;0;2122;2345;2190;2410;2410;0;0;1823;0;0;0
Veronica aphylla;0;0;0;2061;1704;1704;2122;2122;0;0;0;0;0;2096;1823;1823;1894;1894
Veronica chamaedrys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Veronica fruticans;0;0;0;0;1704;1704;0;0;0;0;0;0;1980;0;1800;0;0;0
Veronica serpyllifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Viola alpina;0;0;0;0;0;0;2122;2122;0;0;0;0;0;2096;0;1823;0;0
Viola biflora;2452;0;0;2061;1704;1704;2122;2122;2503;1765;0;1989;0;2096;1823;1823;1894;1825
Viola lutea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Viola palustris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Viola tricolor subsp. subalpina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
