Sja.S91;Sja.C14;Haw.S91;Haw.C14;Orn.S91;Orn.C14;Sla.S91;Sla.C14;Nos.S91;Nos.C14;Swi.S91;Swi.C14;Kam.S91;Kam.C14;Kma.S91;Kma.C14;Krz.S91;Krz.C14;Rys.S91;Rys.C14;Cmi.S91;Cmi.C14;Gws.S91;Gws.C14
Laserpitium_latifolium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leontodon_incanus;0;0;0;0;0;0;0;0;1206;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leontodon_montanus_subsp._pseudotaraxaci;0;0;0;2152;0;0;0;0;1206;1206;0;2061;0;0;1704;0;2122;2122;0;0;0;2096;1894;1825
Leontopodium_alpinum;0;0;0;2152;0;0;0;0;1206;1206;0;0;0;0;1704;1704;2122;0;0;0;0;0;1894;1825
Leucanthemopsis_alpina;0;0;0;0;0;0;2452;2452;0;0;0;0;2126;0;1704;0;2122;2122;2503;2500;0;0;1894;0
Leucanthemum_vulgare;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;1894
Leucanthemum_waldstenii;0;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0
Ligusticum_mutellina;2210;2210;0;0;1867;1867;0;2415;0;1206;0;0;2126;0;1704;1704;2122;2122;0;2155;0;2096;0;1825
Ligusticum_mutellinoides;0;0;2152;2152;0;0;0;2400;0;0;0;2061;0;2126;0;0;2122;2122;0;2500;0;2096;0;0
Lilium_martagon;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Linum_catharticum;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Linum_perenne_subsp._extraaxillare;0;0;0;2152;1867;0;0;0;0;0;0;2061;0;0;0;1704;2122;0;0;0;0;0;0;0
Listera_ovata;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lloydia_serotina;2210;2210;2152;2152;0;0;0;0;0;0;0;2061;0;2126;0;0;2122;2122;0;2500;0;2096;1894;0
Lotus_corniculatus;0;0;0;0;0;0;0;0;0;1206;0;2061;0;0;0;0;0;0;0;0;0;0;0;0
Luzula_alpinopilosa;0;2210;0;0;1867;1867;2452;2452;0;0;0;2061;2126;0;0;0;2122;2116;2503;2500;0;2096;0;0
Luzula_luzulina;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luzula_luzuloides;0;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;1704;0;0;0;1800;0;0;0;1825
Luzula_multiflora;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;0;0;0;0;0;0;0;0
Luzula_spicata;2210;0;0;0;0;0;0;0;0;0;0;0;0;2126;0;0;2122;0;0;0;0;0;0;0
Luzula_sudetica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0
Luzula_sylvatica;0;0;0;0;0;1867;0;0;1206;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lycopodium_annotinum;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2096;0;0
Maianthemum_bifolium;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Melampyrum_pratense;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Melampyrum_sylvaticum;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mercurialis_perennis;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Microstylis_monophyllos;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Minuartia_laricifolia_subsp._kitaibelii;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Minuartia_sedoides;0;0;2152;2152;1867;0;0;2423;1206;0;0;2061;0;2126;0;1704;2122;2122;0;2500;0;2096;1894;1894
Minuartia_verna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;1894;1894
Moehringia_muscosa;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Moehringia_trinervia;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Moneses_uniflora;0;0;0;0;1867;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Mycelis_muralis;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Myosotis_alpestris;0;0;0;2152;0;0;0;0;0;0;0;2061;0;0;0;0;0;2122;2503;2128;0;2096;1894;1894
Myosotis_sylvatica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;0;0;0;0;0;0;0;0
Nardus_stricta_;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Omalotheca_hoppeana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Omalotheca_supina;0;0;0;0;1867;0;0;2433;0;0;2061;0;0;0;0;0;0;0;0;2500;0;2096;0;0
Omalotheca_sylvatica;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oreochloa_disticha;2210;2210;2152;2152;1867;1867;2452;2452;0;0;2061;2061;0;2126;0;0;2122;2122;2503;2500;0;2096;0;0
Orthilia_secunda;0;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;1825
Oxalis_acetosella;0;0;0;0;1867;1867;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oxyria_digyna;0;0;0;0;1867;0;0;0;0;0;0;0;0;2126;0;0;2122;0;0;2335;0;0;0;0
Oxytropis_campestris;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;1894;0
Oxytropis_carpatica;0;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;1894;1894
Oxytropis_halleri;0;0;2152;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;1894;0
Oxytropis_pilosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Papaver_burseri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;2122;0;0;0;0;1894;0
Paris_quadrifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;0;0;0;0;0;0;0;0
Parnassia_palustris;0;0;0;2152;0;0;0;0;0;0;0;2061;0;0;0;1704;0;0;0;0;0;2096;0;1894
Pedicularis_hacquetii;0;0;0;0;0;0;0;0;0;0;2061;2061;0;0;0;0;0;0;0;0;0;0;1894;0
Pedicularis_oederi;2210;2210;0;2152;0;0;0;2235;0;0;2061;2061;0;0;0;1704;2122;2122;0;2500;0;2096;1894;1825
Pedicularis_verticillata;2210;0;0;2152;0;0;0;2297;1206;1206;2061;2061;0;2126;0;1704;2122;2122;0;2500;0;2096;1894;1894
Phegopteris_connectilis;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Phleum_alpinum_subsp._alpinum;2210;0;0;0;1867;1867;0;0;0;0;2061;0;0;0;0;0;0;2116;0;1725;0;0;0;0
Phleum_hirsutum;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Phyteuma_orbiculare;0;0;0;2152;0;0;0;0;0;1206;0;2061;0;0;0;1704;0;2122;0;0;0;2096;1894;1894
Phyteuma_spicatum;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Picea_abies;0;0;0;0;0;1867;0;2240;0;1206;0;0;0;0;0;1704;0;0;0;0;0;0;0;1825
Pimpinella_major;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pimpinella_saxifraga;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pinguicula_alpina;0;0;0;2152;0;0;0;0;1206;1206;0;0;0;0;0;1704;2122;0;0;0;0;2096;0;1825
Pinus_cembra;0;0;0;0;0;0;0;1880;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pinus_mugo;0;0;0;0;0;1867;0;2240;0;0;0;2061;2126;0;0;1704;0;0;0;1725;0;2096;0;1894
Pinus_sylvestris;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Plantago_atrata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;2116;0;0;0;2096;0;0
Plantago_major;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;2096;0;1894
Plantanthera_bifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Poa_alpina;2210;2210;0;2152;0;1867;0;2452;0;1206;2061;2061;0;2126;0;1704;0;2122;0;2500;0;2096;1894;1894
Poa_annua;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;1894
Poa_granitica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Poa_chaixii;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Poa_laxa;0;0;0;0;1867;0;0;2452;0;0;0;0;0;2126;0;0;0;0;2503;2500;0;0;0;0
Poa_nemoralis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Polygala_amara_subsp._brachyptera;0;0;0;2152;0;0;0;0;0;1206;0;2061;0;0;0;1704;0;2122;0;0;0;0;0;0
Polygala_vulgaris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;1825
Polygonum_bistorta;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Polygonum_viviparum;0;0;0;2152;0;0;0;2238;0;1206;0;2061;2126;2126;0;1704;0;2122;0;2500;0;0;1894;1894
Polystichum_lonchitis;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;2096;1894;0
Potentilla_aurea;0;0;0;0;1867;1867;0;2145;0;0;2061;2061;2126;0;0;1704;0;2122;0;2500;0;2096;1894;1825
Potentilla_crantzii;0;0;0;2152;0;0;0;0;0;0;0;2061;0;0;0;0;0;2122;0;0;0;2096;0;1825
Potentilla_erecta;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Potentilla_pusilla;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Potentilla_tabernaemontani;0;0;0;0;0;0;0;0;0;0;0;0;0;2126;0;0;0;2107;0;0;0;0;0;0
Prenanthes_purpurea;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Primula_auricula;0;0;0;2152;0;0;0;0;1206;1206;0;2061;0;0;0;1704;0;0;0;0;0;0;0;1825
Primula_elatior;0;0;0;0;0;0;0;0;0;1206;0;2061;0;0;0;0;2122;2122;0;0;0;2096;1894;0
Primula_minima;0;0;0;2152;1867;0;0;2452;0;0;0;2061;2126;0;0;1704;2122;0;2503;2500;0;2096;0;1825
Pritzelago_alpina;2210;0;0;0;0;0;0;0;0;0;2061;2061;0;0;0;0;2122;2122;0;0;0;0;1894;0
Prunella_vulgaris;0;0;0;0;1867;1867;0;0;0;1206;2061;2061;0;0;0;1704;0;0;0;0;0;0;0;1825
Pulmonaria_obscura;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pulsatilla_alba;2210;2210;0;2152;0;1867;2452;2360;0;0;2061;2061;0;2126;0;1704;0;2122;0;0;0;2096;0;0
Pulsatilla_vernalis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pyrola_carpatica;0;0;0;2152;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0
Pyrola_minor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pyrola_rotundifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2096;0;0
Ranunculus_acris;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ranunculus_alpestris;2210;2210;0;2152;0;0;0;0;0;0;2061;2061;0;0;0;1704;2122;2122;0;2190;0;2096;1894;1825
Ranunculus_glacialis;2210;2210;0;0;0;0;0;2452;0;0;0;0;2126;0;0;0;0;0;2503;2500;0;0;0;0
Ranunculus_oreophilus;0;0;0;2152;0;0;0;0;0;1206;0;2061;0;0;0;1704;0;0;0;0;0;0;0;0
Ranunculus_platanifolius;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1800;0;0;0;0
Ranunculus_pseudomontanus;2210;2210;0;0;0;0;0;2397;0;0;0;0;0;2126;0;0;0;2122;2503;2500;0;2096;0;1894
Ranunculus_repens;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ranunculus_thora;0;0;2152;2152;1867;0;0;0;0;0;2061;2061;0;0;0;1704;0;2122;0;0;0;0;1894;0
Rhodiola_rosea;2210;2210;0;2152;0;0;0;0;0;0;0;2061;0;2126;0;0;2122;2122;0;1725;0;2096;0;1894
Ribes_alpinum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ribes_petraeum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Rosa_pendulina;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rubus_caesius;0;0;0;0;0;0;0;1887;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rubus_idaeus;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;1894
Rumex_acetosa;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rumex_alpestris;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0
Rumex_alpinus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1740;0;2096;0;0
Sagina_procumbens;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sagina_saginoides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2096;1894;0
Salix_alpina;0;0;0;2152;0;0;0;2283;0;0;2061;2061;0;0;0;1704;2122;2122;0;0;0;0;1894;1894
Salix_herbacea;2210;2210;2152;0;0;0;0;2423;0;0;0;0;0;2126;0;0;2122;0;0;2500;0;0;1894;1894
Salix_myrsinifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Salix_reticulata;0;0;0;0;1867;0;0;0;0;0;2061;2061;0;0;0;1704;2122;2122;0;0;0;2096;1894;1894
Salix_retusa;2210;2210;0;2152;1867;0;0;2240;0;0;2061;0;0;2126;1704;0;2122;2122;0;2500;0;2096;1894;0
Salix_silesiaca;0;0;0;2152;1867;1867;0;1887;0;1206;0;0;0;0;0;1704;0;0;0;1623;0;0;0;1894
Saussurea_alpina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;1894;0
Saussurea_pygmaea;0;2210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saxifraga_adscendens;2210;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;2122;0;0;0;2096;0;1894;1894
Saxifraga_aizoides;2210;0;0;2152;0;0;0;0;0;0;0;0;0;0;1704;1704;2122;2122;0;0;0;2096;1894;1894
Saxifraga_androsacea;2210;0;0;0;0;0;0;2360;0;0;0;0;0;0;0;0;2122;0;0;2500;0;0;1894;0
Saxifraga_bryoides;2210;2210;0;0;1867;0;0;0;0;0;0;0;2126;0;0;0;0;0;2503;2500;0;0;1894;1894
Saxifraga_caesia;2210;0;0;2152;0;0;0;0;0;0;2061;2061;0;0;1704;1704;0;0;0;0;0;0;1894;1894
Saxifraga_carpatica;2210;0;0;0;0;0;0;2452;0;0;0;0;0;0;0;0;2122;0;2503;2500;0;0;1894;0
Saxifraga_cernua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;1894;0
Saxifraga_exarata_subsp._moschata;2210;2210;0;2152;1867;0;0;0;0;0;0;2061;2126;0;0;0;2122;2122;2503;2500;0;2096;1894;1894
Saxifraga_hieracifolia;2210;2210;0;0;1867;0;0;0;0;0;2061;0;0;0;0;0;2122;0;0;2190;0;0;1894;0
Saxifraga_oppositifolia;0;0;2152;2152;0;0;0;0;0;0;2061;2061;0;2126;0;0;0;2122;0;2500;0;2096;1894;1894
Saxifraga_paniculata;2210;0;2152;0;0;0;0;0;1206;1206;0;2061;0;2126;0;1704;0;2112;0;0;0;2096;1894;1894
Saxifraga_retusa;0;0;0;0;0;0;0;0;0;0;0;0;0;2126;0;0;0;0;0;2500;0;0;0;0
Saxifraga_rosacea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saxifraga_wahlenbergii;0;0;0;0;0;0;0;0;0;0;2061;2061;0;0;1704;0;2122;2122;0;2500;0;2096;0;0
Scabiosa_lucida;0;0;0;2152;1867;0;0;0;1206;1206;0;2061;0;0;0;1704;0;0;0;0;0;0;0;1894
Scrophularia_scopolii;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sedum_alpestre;0;0;0;0;0;0;0;2452;0;0;0;0;2126;0;0;0;0;0;0;2500;0;0;1894;1894
Sedum_atratum;0;0;0;2152;1867;1867;0;0;0;0;2061;2061;0;0;1704;0;2122;2122;0;0;0;2096;1894;1894
Sedum_telephium_subsp._fabaria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Selaginella_selaginoides;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;1704;0;2122;0;0;0;2096;1894;1894
Sempervivum_montanum;2210;2210;0;2152;1867;0;0;2397;0;1206;2061;2061;0;0;0;0;2122;0;0;0;0;0;0;0
Senecio_abrotanifolius_subsp._carpathicus;2210;2210;0;0;0;0;0;0;0;0;0;0;0;2126;0;0;0;0;0;0;0;0;0;0
Senecio_incanus_subsp._carniolicus;0;0;0;0;0;0;0;2420;0;0;0;0;0;0;0;0;2122;0;2503;2500;0;0;0;0
Senecio_integrifolius_subsp._capitatus;0;0;0;2152;0;0;2452;2420;0;0;2061;2061;0;0;0;0;2122;2116;0;0;0;0;1894;1825
Senecio_nemorensis;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;0;0;0;0;0;1740;0;0;0;0
Senecio_rivularis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Senecio_subalpinus;0;0;0;0;0;1867;0;0;1206;1206;0;0;0;0;0;0;0;0;0;0;0;2096;0;0
Seseli_libanotis;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sesleria_bielzii;0;0;0;2152;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;2096;0;0
Sesleria_sadlerana_subsp._tatrae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894
Sesleria_varia;0;0;0;0;0;0;0;0;1206;1206;0;2061;0;0;0;1704;2122;2122;0;0;0;0;1894;0
Sibbaldia_procumbens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Silene_acaulis;2210;2210;0;2152;0;0;0;2440;0;0;0;2061;2126;0;0;1704;0;2122;2503;2500;0;2096;1894;1894
Silene_dioica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Silene_nutans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Silene_pusilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0
Silene_vulgaris;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0
Soldanella_carpatica;2210;2210;0;2152;1867;1867;0;0;0;1206;2061;2061;0;0;0;1704;0;2116;0;2053;0;2096;0;1894
Solidago_virgaurea;0;0;0;2152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Solidago_virgaurea_subsp._minuta;0;2210;0;0;1867;1867;0;2143;1206;1206;2061;2061;0;0;0;1704;0;0;0;1765;0;0;0;1825
Sorbus_aria;0;0;0;0;0;0;0;0;1206;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sorbus_aucuparia_subsp._glabrata;0;0;0;0;1867;1867;0;0;0;1206;0;0;0;0;0;0;2122;0;0;0;0;0;0;0
Stellaria_nemorum;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;2116;0;1740;0;2096;0;0
Swertia_perennis;0;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;1704;2122;2122;0;0;0;2096;0;1894
Taraxacum_officinale;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;0;1704;0;0;0;0;0;0;0;1894
Taraxacum_Sect._Alpina;0;0;0;2152;0;0;0;0;0;0;0;2061;0;0;0;0;0;2122;0;2500;0;2096;0;0
Taraxacum_Sect._Erythrosperma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thalictrum_aquilegiifolium;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thalictrum_minus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0
Thesium_alpinum;0;0;0;0;0;0;2452;0;1206;1206;2061;2061;0;0;0;0;0;0;0;0;0;0;1894;1825
Thymus_alpestris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thymus_pulcherrimus;0;0;0;2152;1867;0;0;0;0;0;0;2061;0;0;0;1704;0;2122;0;0;0;2096;0;1894
Thymus_pulegioides;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;1894
Tofieldia_calyculata;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;1704;0;0;0;0;0;0;1894;1894
Traunsteinera_globosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1825
Trifolium_badium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;2122;0;0;0;0;0;0;1825
Trifolium_pratense_;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trifolium_repens;0;0;0;0;0;0;0;0;0;1206;0;2061;0;0;0;1704;0;0;0;0;0;0;0;0
Trisetum_alpestre;0;0;0;2152;0;0;0;0;1206;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trisetum_fuscum;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;1704;0;0;0;0;0;0;0;1894;0
Trollius_europaeus;2210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;2096;0;0
Trollius_europaeus_subsp._transsilvanicus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2116;0;0;0;0;0;0
Tussilago_farfara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1825
Urtica_dioica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1825
Vaccinium_myrtillus;0;2210;0;0;0;1867;0;2333;0;1206;0;0;0;2126;0;1704;0;2116;0;2500;0;2096;0;1825
Vaccinium_uliginosum;0;0;0;0;1867;1867;0;0;0;0;0;0;2126;0;0;1704;0;0;0;0;0;0;1894;0
Vaccinium_vitis-idaea;0;0;0;2152;0;1867;0;2240;0;1206;0;2061;0;2126;0;1704;0;2116;0;2500;0;2096;0;1825
Vaccinum_uliginosum_subsp._microphyllum;0;0;0;2152;0;0;0;2223;0;0;0;2061;0;0;0;0;0;0;0;2053;0;0;0;0
Valeriana_officinalis_subsp._sambucifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Valeriana_tripteris;0;0;0;0;1867;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;1725;0;0;0;0
Veratrum_lobelianum;0;0;0;0;1867;1867;0;0;0;0;0;2061;0;0;0;0;0;0;0;1840;0;0;0;0
Veronica_alpina;2210;0;0;0;1867;0;0;2366;0;0;0;0;2126;0;1704;0;0;2122;0;2190;0;0;1894;0
Veronica_aphylla;0;0;0;2152;0;0;0;0;0;0;2061;2061;0;0;0;1704;2122;2122;0;0;0;2096;1894;1894
Veronica_chamaedrys;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Veronica_fruticans;0;0;0;0;0;0;0;0;1206;0;2061;0;0;0;0;1704;0;0;0;0;0;0;0;0
Veronica_serpyllifolia;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Viola_alpina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;2122;0;0;2096;2096;1894;0
Viola_biflora;2210;0;0;0;1867;0;0;0;0;0;0;2061;0;0;0;1704;0;2122;0;1765;0;2096;0;1825
Viola_lutea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Viola_palustris;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Viola_tricolor_subsp._subalpina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0
