Sja.S91;Sja.C14;Haw.S91;Haw.C14;Orn.S91;Orn.C14;Sla.S91;Sla.C14;Nos.S91;Nos.C14;Swi.S91;Swi.C14;Kam.S91;Kam.C14;Kma.S91;Kma.C14;Krz.S91;Krz.C14;Rys.S91;Rys.C14;Cmi.S91;Cmi.C14;Gws.S91;Gws.C14
Bupleurum_tenuissimum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calamagrostis_arundinacea;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calamagrostis_canescens;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calamagrostis_varia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1765;0;0;0;0
Calamagrostis_villosa;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Callianthemum_coriandrifolium;2210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Calluna_vulgaris;0;0;0;0;0;1867;0;2145;0;0;0;0;0;0;0;1704;0;0;0;0;0;0;0;0
Caltha_palustris;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campanula_alpina;2210;2210;2152;0;1867;1867;0;2452;0;0;0;2061;2126;0;0;0;2122;2116;0;2500;0;2096;1894;1825
Campanula_cochlearifolia;0;0;0;2152;0;1867;0;2423;0;1206;0;2061;0;0;0;0;0;0;0;0;0;0;0;1894
Campanula_rotundifolia_subsp._polymorpha;0;0;0;0;0;0;0;2146;0;0;0;0;0;0;0;1704;0;2122;0;1765;0;0;0;0
Campanula_rotundifolia_subsp._rotundifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campanula_scheuchzeri;0;2210;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;2096;1894;1894
Cardamine_impatiens;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cardamine_trifolia;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cardaminopsis_arenosa________________;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;1704;1704;2122;2122;0;0;0;2096;1894;1894
Cardaminopsis_halleri;0;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;2122;2122;0;0;0;2096;0;1825
Cardaminopsis_neglecta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;2500;0;0;0;0
Carduus_defloratus_subsp._glaucus;0;0;0;0;0;0;0;0;1206;1206;2061;2061;0;0;0;0;0;0;0;0;0;2096;0;1894
Carex_atrata;0;0;0;2152;0;0;0;2240;0;0;0;2061;0;0;0;0;2122;2122;0;0;0;2096;0;1894
Carex_bigelowii;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2096;0;0
Carex_capillaris;0;0;0;0;0;0;0;0;1206;1206;0;2061;0;0;0;1704;0;0;0;0;0;0;0;0
Carex_curta;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0
Carex_davalliana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex_firma;0;0;0;2152;0;1867;0;0;0;1206;0;2061;0;0;0;1704;2122;2122;0;0;0;2096;1894;1894
Carex_fuliginosa;0;0;0;2152;0;0;0;2041;0;0;0;0;0;0;0;0;2122;2122;0;0;0;0;0;0
Carex_nigra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0
Carex_pilulifera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0
Carex_sempervirens;0;0;0;2152;1867;1867;0;2240;0;1206;0;2061;0;2126;0;1704;2122;0;0;0;0;0;0;1894
Carex_sylvatica;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carlina_acaulis;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;1825
Centaurea_mollis;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0
Centaurea_scabiosa;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cerastium_alpinum;0;0;0;2152;0;1867;2452;0;1206;0;2061;2061;2126;0;0;0;2122;0;2503;2190;0;0;1894;1894
Cerastium_arvense______________________________;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;0;0;0;0;0;2096;0;1894
Cerastium_arvense_subsp._glandulosum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;0;2122;0;2500;0;0;0;0
Cerastium_cerastoides;0;0;0;0;1867;1867;0;0;0;0;0;0;0;0;0;0;2122;2122;0;0;0;0;1894;0
Cerastium_fontanum;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;2122;2116;0;0;0;0;0;1894
Cerastium_latifolium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Cerastium_uniflorum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2500;0;0;0;0
Chaerophyllum_hirsutum;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Chamorchis_alpina;0;0;2152;2152;0;0;0;0;0;0;2061;2061;0;0;0;0;0;0;0;0;0;0;0;0
Chrysosplenium_alternifolium;0;0;0;0;1867;1867;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;2096;0;0
Cicerbita_alpina;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;1725;0;0;0;0
Circaea_alpina;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cirsium_erisithales;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cirsium_helenioides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clematis_alpina;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;2096;0;0;0
Cochlearia_tatrae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coeloglossum_viride;0;0;0;2152;0;0;0;0;0;0;0;2061;0;0;0;1704;0;2122;0;0;0;2096;0;0
Corallorhiza_trifida;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cortusa_matthioli;0;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0
Cotoneaster_integerrimus;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crepis_jacquinii;0;0;0;0;0;0;0;0;1206;1206;0;0;0;0;0;1704;0;0;0;0;0;0;1894;1825
Crepis_mollis;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0
Crepis_paludosa;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0
Cruciata_glabra;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
