Haw.P56;Haw.C14;Krz.P56;Krz.C14;Rys.P56;Rys.C14;Msc.P56;Msc.C14;Cmi.P56;Cmi.C14;Gws.P56;Gws.C14
Taraxacum Sect. Alpina;0;2152;0;2122;0;2500;0;2410;0;2096;0;0
Taraxacum Sect. Erythrosperma;0;0;0;0;0;0;0;0;0;0;0;0
Thalictrum aquilegiifolium;0;0;0;0;0;0;0;0;0;0;0;0
Thalictrum minus;2020;0;0;0;0;0;0;0;1950;0;0;0
Thesium alpinum;0;0;0;0;0;0;0;0;0;0;0;1825
Thymus alpestris;0;0;0;0;0;0;0;2410;0;0;0;0
Thymus pulcherrimus;0;2152;0;2122;0;0;0;0;0;2096;0;1894
Thymus pulegioides;0;0;0;0;0;0;0;0;0;0;0;1894
Tofieldia calyculata;0;0;0;0;0;0;0;0;0;0;0;1894
Traunsteinera globosa;0;0;0;0;0;0;0;0;0;0;0;1825
Trifolium badium;0;0;0;0;0;0;0;0;0;0;0;1825
Trifolium pratense ;0;0;0;0;0;0;0;0;2060;0;0;0
Trifolium repens;2000;0;0;0;0;0;0;0;0;0;0;0
Trisetum alpestre;0;2152;0;0;0;0;0;0;0;0;0;0
Trisetum fuscum;0;0;0;0;0;0;0;0;0;0;0;0
Trollius europaeus;0;0;0;0;0;0;0;0;0;2096;0;0
Trollius europaeus subsp. transsilvanicus;2135;0;0;2116;0;0;0;0;0;0;0;0
Tussilago farfara;0;0;0;0;0;0;0;0;0;0;0;1825
Urtica dioica;0;0;0;0;0;0;0;0;0;0;0;1825
Vaccinium myrtillus;0;0;0;2116;0;2500;0;2188;0;2096;0;1825
Vaccinium uliginosum;0;0;0;0;0;0;0;0;0;0;0;0
Vaccinium vitis-idaea;0;2152;0;2116;0;2500;0;2188;0;2096;0;1825
Vaccinum uliginosum subsp. microphyllum;0;2152;0;0;0;2053;0;0;0;0;0;0
Valeriana officinalis subsp. sambucifolia;0;0;0;0;0;0;0;0;0;0;0;0
Valeriana tripteris;0;0;0;0;0;1725;0;0;0;0;0;0
Veratrum lobelianum;0;0;0;0;0;1840;0;1920;0;0;0;0
Veronica alpina;0;0;0;2122;0;2190;0;2410;0;0;0;0
Veronica aphylla;0;2152;0;2122;0;0;0;0;0;2096;0;1894
Veronica chamaedrys;0;0;0;0;0;0;0;0;0;0;0;0
Veronica fruticans;0;0;0;0;0;0;0;0;2085;0;0;0
Veronica serpyllifolia;0;0;0;0;0;0;0;0;0;0;0;0
Viola alpina;0;0;2122;2122;0;0;0;0;0;2096;0;0
Viola biflora;0;0;0;2122;0;1765;2390;1989;0;2096;0;1825
Viola lutea;0;0;0;0;0;0;0;0;0;0;0;0
Viola palustris;0;0;0;0;0;0;0;0;0;0;0;0
Viola tricolor subsp. subalpina;0;0;0;0;0;0;0;0;0;0;0;0
