Sla;Kma;Krz;Rys;Msc;Cmi;Gwr;Gws;Haw;Sja;Orn;Nos;Swi;Kam
Saxifraga bryoides;0;0;0;2503;2410;0;0;1894;0;2210;1867;0;0;2126
Saxifraga caesia;0;1704;2122;0;0;0;1823;1894;2152;2210;0;0;2061;0
Saxifraga carpatica;2452;0;2122;2503;2410;0;0;1894;0;2210;0;0;0;0
Saxifraga cernua;0;0;2122;0;0;0;0;1894;0;0;0;0;0;0
Saxifraga exarata subsp. moschata;2452;0;2122;2503;2410;0;1823;1894;2152;2210;1867;0;0;2126
Saxifraga hieracifolia;0;0;2122;2499;2410;0;0;1894;0;2210;1867;0;2061;0
Saxifraga oppositifolia;0;1704;2122;2400;2410;0;1823;1894;2152;0;0;0;2061;0
Saxifraga paniculata;2452;0;2094;0;0;0;1823;1894;2152;2210;0;1206;0;0
Saxifraga retusa;2452;0;0;0;2410;0;0;0;0;0;0;0;0;0
Saxifraga rosacea;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saxifraga wahlenbergii;2452;1704;2122;2273;0;0;1823;0;0;0;0;0;2061;0
Scabiosa lucida;0;0;0;0;0;0;1823;1894;0;0;1867;1206;0;0
Scrophularia scopolii;0;0;0;0;0;0;1700;0;0;0;1867;0;0;0
Sedum alpestre;2452;0;2122;2345;0;0;0;1894;0;0;0;0;0;2126
Sedum atratum;0;1704;2122;0;0;2096;1823;1894;2152;0;1867;0;2061;0
Sedum telephium subsp. fabaria;0;0;0;0;0;0;1700;1894;0;0;0;0;0;0
Selaginella selaginoides;0;1704;2122;0;0;2096;0;1894;2152;0;0;1206;0;0
Sempervivum montanum;0;0;2122;0;2410;0;0;0;0;2210;1867;0;2061;0
Senecio abrotanifolius subsp. carpathicus;0;0;0;0;0;0;0;0;0;2210;0;0;0;0
Senecio incanus subsp. carniolicus;0;0;2122;2503;0;2092;0;0;0;0;0;0;0;0
Senecio integrifolius subsp. capitatus;2452;0;2122;0;0;0;1823;1894;0;0;0;0;2061;0
Senecio nemorensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Senecio rivularis;0;0;0;0;0;0;0;0;0;0;0;0;1978;0
Senecio subalpinus;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Seseli libanotis;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sesleria bielzii;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sesleria sadlerana subsp. tatrae;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sesleria varia;0;1704;2122;0;0;0;0;1894;0;0;0;1206;0;0
Sibbaldia procumbens;0;0;2100;0;0;2089;0;0;0;0;0;0;0;0
Silene acaulis;2452;1704;2122;2300;2410;0;1823;1894;2150;2210;0;0;0;2126
Silene dioica;0;0;2079;2503;0;0;0;0;0;0;0;0;0;0
Silene nutans;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Silene pusilla;0;0;2122;0;0;0;0;0;0;0;0;0;0;0
Silene vulgaris;0;0;0;0;0;1950;0;0;0;0;0;0;2061;0
Soldanella carpatica;2452;1704;2122;0;0;0;1823;1894;0;2210;1867;0;2061;0
Solidago virgaurea;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Solidago virgaurea subsp. minuta;2452;1704;2022;2503;2410;0;1823;0;0;0;1867;1206;2061;0
Sorbus aria;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Sorbus aucuparia subsp. glabrata;0;0;2122;0;0;0;0;0;0;0;1867;0;0;0
Stellaria nemorum;0;0;2110;2503;0;0;0;0;0;0;0;0;0;0
Swertia perennis;2452;0;2122;0;2410;0;1823;1894;0;0;0;0;0;0
Taraxacum officinale;0;1704;0;0;0;0;0;0;0;0;0;0;0;0
Taraxacum Sect. Alpina;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Taraxacum Sect. Erythrosperma;2452;0;2122;2503;2410;0;0;0;0;0;0;0;0;0
Thalictrum aquilegiifolium;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thalictrum minus;0;0;2122;0;0;1950;0;0;2020;0;0;0;0;0
Thesium alpinum;2452;0;0;0;0;0;1823;1858;0;0;0;1206;2061;0
Thymus alpestris;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thymus pulcherrimus;0;0;0;0;0;0;0;0;0;0;1867;0;0;0
Thymus pulegioides;0;1704;2122;0;0;0;1823;1894;0;0;0;0;0;0
Tofieldia calyculata;0;1704;0;0;0;0;0;1894;0;0;0;0;0;0
Traunsteinera globosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trifolium badium;0;0;2122;0;0;0;0;0;0;0;0;0;1978;0
Trifolium pratense ;0;0;0;0;0;2060;0;0;0;0;0;0;0;0
Trifolium repens;0;1704;0;0;0;0;0;0;2000;0;0;0;1978;0
Trisetum alpestre;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Trisetum fuscum;0;1704;0;2503;0;0;0;1894;0;0;0;0;2061;0
Trollius europaeus;0;0;2122;0;0;0;0;0;0;2210;0;0;0;0
Trollius europaeus subsp. transsilvanicus;0;0;0;0;0;0;0;0;2135;0;0;0;0;0
Tussilago farfara;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Urtica dioica;0;0;0;0;0;0;1700;0;0;0;0;0;0;0
Vaccinium myrtillus;0;1704;2122;0;0;0;1823;0;0;0;0;0;0;0
Vaccinium uliginosum;0;0;2122;0;0;0;1823;1894;0;0;1867;0;0;2126
Vaccinium vitis-idaea;0;1704;2122;0;0;0;1823;0;0;0;0;0;0;0
Vaccinum uliginosum subsp. microphyllum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Valeriana officinalis subsp. sambucifolia;0;0;0;0;0;0;0;1894;0;0;0;0;0;0
Valeriana tripteris;0;0;0;2503;0;0;1823;1894;0;0;1867;0;1978;0
Veratrum lobelianum;2452;0;0;2503;2410;0;0;0;0;0;1867;0;0;0
Veronica alpina;2452;1704;0;2345;2410;0;1823;1894;0;2210;1867;0;0;2126
Veronica aphylla;0;1704;2122;0;0;0;1823;1894;0;0;0;0;2061;0
Veronica chamaedrys;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Veronica fruticans;0;1704;0;0;0;1980;1800;0;0;0;0;1206;2061;0
Veronica serpyllifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Viola alpina;0;0;2122;0;0;2096;0;1894;0;0;0;0;0;0
Viola biflora;2452;1704;2122;2503;2390;0;1823;1894;0;2210;1867;0;0;0
Viola lutea;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Viola palustris;0;0;0;0;0;0;0;0;0;0;1867;0;0;0
Viola tricolor subsp. subalpina;0;0;2122;0;0;0;0;0;0;0;0;0;0;0
