Sla;Kma;Krz;Rys;Msc;Cmi;Gwr;Gws;Haw;Sja;Orn;Nos;Swi;Kam
Carex sylvatica;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carlina acaulis;0;0;0;0;0;0;0;1894;0;0;0;0;0;0
Centaurea mollis;0;0;0;0;0;0;0;0;0;0;0;0;2061;0
Centaurea scabiosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cerastium alpinum;2452;0;2122;2503;0;1976;0;1894;0;0;0;1206;2061;2126
Cerastium arvense                              ;2452;1704;2122;2470;0;0;1823;0;0;0;0;0;0;0
Cerastium arvense subsp. glandulosum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cerastium cerastoides;0;0;2122;2345;2410;0;0;1894;0;0;1867;0;0;0
Cerastium fontanum;0;0;2122;0;0;0;0;0;2152;0;0;0;1978;0
Cerastium latifolium;2452;0;2122;2503;0;0;0;1894;0;0;0;0;0;0
Cerastium uniflorum;0;0;0;2503;0;0;0;0;0;0;0;0;0;0
Chaerophyllum hirsutum;0;1704;0;0;0;0;1823;1894;2152;0;0;0;0;0
Chamorchis alpina;0;0;0;0;0;0;0;0;2152;0;0;0;2061;0
Chrysosplenium alternifolium;0;1704;2122;0;0;2000;0;1670;0;0;1867;0;0;0
Cicerbita alpina;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Circaea alpina;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cirsium erisithales;0;0;0;0;0;1905;1823;0;0;0;0;0;0;0
Cirsium helenioides;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clematis alpina;0;0;0;0;0;2096;0;1720;0;0;0;0;0;0
Cochlearia tatrae;0;0;2058;0;0;0;0;0;2000;0;0;0;0;0
Coeloglossum viride;0;0;0;0;0;0;1823;0;0;0;0;0;0;0
Corallorhiza trifida;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Cortusa matthioli;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cotoneaster integerrimus;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crepis jacquinii;0;1704;0;0;0;0;1823;1857;0;0;0;1206;0;0
Crepis mollis;0;0;0;0;0;0;1823;0;0;0;0;0;2061;0
Crepis paludosa;0;0;0;0;0;0;0;0;0;0;0;0;2061;0
Cruciata glabra;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cystopteris alpina;0;0;2100;0;0;2085;0;0;0;0;0;0;0;0
Cystopteris fragilis;0;1704;1999;0;0;0;0;0;0;0;0;0;0;0
Cystopteris sudetica;0;0;0;0;0;0;0;1894;0;2210;0;1206;0;0
Dactylis glomerata;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Daphne mezereum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Delphinium elatum;0;0;2122;0;0;0;1823;1894;0;2210;0;0;0;0
Delphinium oxysepalum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Deschampsia cespitosa                     ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Deschampsia flexuosa;0;0;2111;2503;0;0;0;0;0;0;0;0;0;0
Dianthus glacialis;0;0;2122;2490;2410;0;0;0;0;2210;1867;0;1998;0
Dianthus plumarius;0;0;2122;0;0;0;1800;1894;0;0;0;1206;0;0
Dianthus superbus subsp. alpestris;0;0;2050;0;0;0;0;0;0;0;0;0;0;0
Digitalis grandiflora;0;0;0;0;0;0;1700;0;0;0;0;0;0;0
Diphasiastrum alpinum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Doronicum austriacum;0;0;0;0;0;0;0;0;0;0;0;0;1978;0
Doronicum clusii;2452;0;2122;2503;2410;0;0;0;0;2210;1867;0;1998;2126
Draba aizoides;0;1704;2122;0;0;0;1823;1894;0;0;0;0;2061;0
Draba dubia;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Draba tomentosa;0;0;2122;0;0;2060;0;1894;2152;0;0;0;2061;0
Dryas octopetala;0;1704;2122;0;2410;0;1823;1894;2152;0;0;0;0;0
Dryopteris carthusiana;0;0;2098;0;0;0;0;0;0;0;0;0;0;0
Dryopteris dilatata;0;0;2098;0;0;0;0;0;0;0;0;0;0;0
Empetrum nigrum;0;1704;2122;0;0;0;0;1894;0;2210;1867;0;0;0
Empetrum nigrum subsp. hermaphroditum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
