Species;Acronym;Lifeform;Sja.S91;Sja.C14;Haw.S91;Haw.B90;Haw.P56;Haw.C14;Orn.S91;Orn.C14;Sla.K90;Sla.S91;Sla.C14;Nos.S91;Nos.B90;Nos.C14;Swi.S91;Swi.K90;Swi.C14;Kam.S91;Kam.C14;Kma.S91;Kma.K90;Kma.B55;Kma.B90;Kma.C14;Krz.S91;Krz.K90;Krz.P56;Krz.P28;Krz.C14;Rys.S91;Rys.K90;Rys.P56;Rys.C14;Msc.K90;Msc.P56;Msc.P28;Msc.C14;Cmi.S91;Cmi.K90;Cmi.P56;Cmi.P49;Cmi.P56;Cmi.C14;Gwr.K90;Gwr.C14;Gws.K90;Gws.S91;Gws.B55;Gws.B90;Gws.P56;Gws.C14
Carex davalliana;Crx.dav;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Carex firma;Crx.fir;H;NA;NA;NA;2152;NA;2152;NA;1867;NA;NA;NA;NA;NA;1206;NA;NA;2061;NA;NA;NA;NA;NA;NA;1704;2122;2122;NA;2122;2122;NA;2179;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;2096;1823;1823;1894;1894;NA;NA;NA;1894
Carex fuliginosa;Crx.ful;H;NA;NA;NA;NA;NA;2152;NA;NA;2452;NA;2041;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;2122;NA;NA;2122;NA;2179;NA;NA;2410;NA;2410;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Carex nigra;Crx.nig;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2000;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA;NA
Carex pilulifera;Crx.pil;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Carex sempervirens;Crx.sem;H;NA;NA;NA;NA;NA;2152;1867;1867;2452;NA;2240;NA;NA;1206;NA;NA;2061;NA;2126;NA;1704;NA;NA;1704;2122;2122;NA;2122;NA;NA;NA;NA;NA;2410;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;1823;NA;NA;NA;NA;NA;1894
Carex sylvatica;Crx.syl;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Carlina acaulis;Crl.aca;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;1894;NA;NA;NA;NA;1825
Centaurea mollis;Cen.mol;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;1978;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Centaurea scabiosa;Cen.sca;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cerastium alpinum;Cer.lan;C;NA;NA;NA;NA;NA;2152;NA;1867;NA;2452;NA;1206;NA;NA;2061;NA;2061;2126;NA;NA;NA;NA;NA;NA;2122;NA;NA;2122;NA;2503;NA;NA;2190;NA;NA;2410;2410;NA;1976;NA;NA;2096;NA;NA;NA;1894;1894;1894;1894;NA;1894
Cerastium arvense                              ;Cer.arv;C;NA;NA;NA;NA;NA;NA;NA;NA;2452;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;1704;NA;2122;NA;NA;NA;NA;2267;2470;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;1823;NA;NA;NA;NA;NA;NA;1894
Cerastium arvense subsp. glandulosum;Cer.tat;C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;2122;2122;NA;NA;NA;2500;NA;NA;2410;2410;NA;NA;NA;NA;2096;NA;NA;1823;NA;NA;NA;NA;NA;NA
Cerastium cerastoides;Cer.cer;C;NA;NA;NA;NA;NA;NA;1867;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;2122;NA;2122;2122;NA;2345;NA;NA;2410;NA;2410;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;1894;NA;NA;NA;NA
Cerastium fontanum;Cer.fon;C;NA;NA;NA;NA;2152;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;1978;NA;NA;NA;NA;NA;NA;NA;NA;2122;2116;NA;2122;2116;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;1823;NA;NA;NA;NA;NA;1894
Cerastium latifolium;Cer.lat;C;NA;NA;NA;NA;NA;NA;NA;NA;2452;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;2122;2122;NA;NA;2503;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;2096;NA;NA;1823;NA;1894;1894;NA;1794;NA
Cerastium uniflorum;Cer.uni;C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2503;2500;NA;NA;2410;2410;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chaerophyllum hirsutum;Cha.hir;H;NA;NA;NA;NA;2152;NA;NA;1867;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;1823;NA;1894;NA;NA;NA;NA
Chamorchis alpina;Chm.alp;G;NA;NA;2152;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;2061;2061;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chrysosplenium alternifolium;Chr.alt;H;NA;NA;NA;NA;NA;NA;1867;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;NA;NA;2122;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2000;2000;NA;2096;NA;NA;1670;NA;NA;NA;NA;NA
Cicerbita alpina;Cic.alp;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1725;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Circaea alpina;Cir.alp;G;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cirsium erisithales;Crs.eri;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1905;NA;2060;NA;NA;1823;1823;NA;NA;NA;NA;NA;NA
Cirsium helenioides;Crs.hel;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;NA
Clematis alpina;Cle.alp;N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;1720;NA;NA;NA;NA;NA
Cochlearia tatrae;Coc.tat;H;NA;NA;NA;NA;2000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2058;NA;2122;NA;NA;NA;NA;NA;NA;NA;2410;2410;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Coeloglossum viride;Coe.vir;G;NA;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;2096;1823;1823;NA;NA;NA;NA;NA;NA
Corallorhiza trifida;Cor.tri;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cortusa matthioli;Crt.mat;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cotoneaster integerrimus;Cot.int;N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Crepis jacquinii;Cre.jac;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;1206;NA;NA;NA;NA;NA;NA;1704;NA;NA;1704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;1823;1857;1894;1894;NA;NA;1825
Crepis mollis;Cre.mol;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;1823;NA;NA;NA;NA;NA;NA;NA
Crepis paludosa;Cre.pal;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cruciata glabra;Cru.gla;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cystopteris alpina;Cys.alp;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1960;2100;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2085;2085;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cystopteris fragilis;Cys.fra;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;1704;NA;NA;NA;NA;1999;NA;2122;2122;NA;NA;NA;1895;NA;NA;NA;NA;NA;NA;NA;NA;2096;2096;NA;1823;NA;NA;NA;NA;NA;1825
Cystopteris sudetica;Cys.sud;H;2210;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA;1825
Dactylis glomerata;Dtc.glo;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Daphne mezereum;Dap.mez;N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Delphinium elatum;Del.ela;H;2210;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;1823;NA;1894;NA;NA;NA;NA
Delphinium oxysepalum;Del.oxy;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;2122;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA;NA
Deschampsia cespitosa                     ;Des.ces;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;1823;NA;NA;NA;NA;NA;1894
Deschampsia flexuosa;Des.fle;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;2370;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;2111;NA;2122;NA;NA;2503;NA;1725;NA;NA;2410;1989;NA;NA;NA;NA;2096;NA;NA;1823;NA;NA;NA;NA;NA;NA
Dianthus glacialis;Dia.gla;H;2210;2210;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;1998;2061;NA;2126;NA;NA;NA;NA;NA;2122;2122;NA;2122;NA;NA;NA;2490;NA;2410;NA;2410;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA;NA
Dianthus plumarius;Dia.plu;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1800;NA;NA;1894;NA;NA;1800;NA
Dianthus superbus subsp. alpestris;Dia.sup;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2050;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;1823;NA;NA;NA;NA;NA;NA
Digitalis grandiflora;Dig.gra;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1700;NA;NA;NA;NA;NA;NA;NA
Diphasiastrum alpinum;Dip.alp;C;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Doronicum austriacum;Dor.aus;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1978;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1725;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Doronicum clusii;Dor.clu;H;2210;2210;NA;NA;NA;NA;1867;NA;NA;2452;2452;NA;NA;NA;NA;1998;NA;2126;NA;NA;NA;NA;NA;NA;2122;NA;NA;2122;2116;2503;2503;NA;2500;2410;NA;2410;2410;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;1894;NA;NA;NA
Draba aizoides;Dra.aiz;C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;2061;NA;NA;1704;1704;NA;NA;1704;2122;2122;NA;2122;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;2096;1823;1823;1894;1894;NA;1894;NA;1894
Draba dubia;Dra.dub;C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Draba tomentosa;Dra.tom;C;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2060;2060;NA;NA;NA;1823;NA;1894;NA;NA;1894;NA
Dryas octopetala;Drs.oct;Ch;NA;NA;NA;NA;2152;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;1704;NA;NA;1704;2122;2122;NA;2122;2112;NA;NA;NA;NA;NA;2410;NA;NA;NA;NA;NA;NA;2096;2096;1823;1823;NA;1894;NA;1894;NA;1894
Dryopteris carthusiana;Dry.car;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2098;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Dryopteris dilatata;Dry.dil;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2098;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA;1825
Empetrum nigrum;Emp.nig;Ch;2210;2210;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;1704;NA;1704;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA;NA
Empetrum nigrum subsp. hermaphroditum;Emp.her;Ch;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;2230;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Epilobium alpestre;Epi.alp;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;1700;1823;NA;NA;NA;NA;NA;NA
Epilobium alsinifolium;Epi.als;H;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2060;2060;NA;2096;NA;1823;NA;1894;NA;1894;NA;1825
Epilobium anagallidifolium;Epi.ana;H;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;NA;2122;NA;NA;NA;NA;2503;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Epilobium angustifolium;Epi.ang;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2116;NA;NA;NA;1623;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;NA
Epilobium tetragonum subsp. tetragonum;Epi.tet;C;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA;NA
Epipactis atrorubens;Epc.atr;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA;NA
Equisetum variegatum;Equ.var;C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Erigeron alpinus;Eri.alp;H;2210;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;2085;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Erigeron nanus;Eri.nan;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA;NA
Erigeron uniflorus;Eri.uni;H;NA;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;1704;NA;2122;2122;NA;NA;2122;NA;2355;NA;2500;2301;NA;NA;2251;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;1894;1894;NA;NA
Euphrasia minima;Eup.min;T;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2075;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;1704;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;1894;NA;NA;1894
Euphrasia minima subsp. tatrae;Eup.tat;T;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Euphrasia salisburgensis;Eup.sal;T;2210;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;1206;2061;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;1823;1894;NA;1894;NA;NA;1825
Euphrasia stricta;Eup.str;T;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Fagus sylvatica;Fag.syl;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Festuca airoides;Fes.sup;H;NA;NA;NA;NA;NA;2152;NA;1867;NA;NA;2452;NA;NA;NA;NA;NA;2061;NA;2126;NA;1704;NA;NA;1704;NA;2122;NA;2122;2122;NA;2503;NA;2500;NA;NA;2410;2410;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA;1894
Festuca amethystina;Fes.tat;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Festuca carpatica;Fes.car;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2085;2096;NA;NA;NA;NA;NA;NA;NA;NA;1894
Festuca picta;Fes.pic;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;2126;NA;NA;NA;NA;NA;NA;NA;2122;NA;2122;NA;NA;2503;NA;1725;2410;NA;2410;2188;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA;1894
Festuca psammophila;Fes.psa;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA;1825
