Sla.C14;Kma.C14;Krz.C14;Rys.C14;Msc.C14;Cmi.C14;Gwr.C14;Gws.C14;Haw.C14;Sja.C14;Orn.C14;Nos.C14;Swi.C14;Kam.C14
Carex pilulifera;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex sempervirens;2240;1704;0;0;0;0;1823;1894;2152;0;1867;1206;2061;2126
Carex sylvatica;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Carlina acaulis;0;0;0;0;0;0;1823;1825;0;0;0;1206;0;0
Centaurea mollis;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Centaurea scabiosa;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Cerastium alpinum;0;0;0;2190;2410;0;0;1894;2152;0;1867;0;2061;0
Cerastium arvense                              ;0;1704;0;0;0;2096;0;1894;0;0;0;0;0;0
Cerastium arvense subsp. glandulosum;0;1704;2122;2500;2410;0;1823;0;0;0;0;0;0;0
Cerastium cerastoides;0;0;2122;0;0;0;0;0;0;0;1867;0;0;0
Cerastium fontanum;0;0;2116;0;0;0;1823;1894;0;0;1867;0;0;0
Cerastium latifolium;0;0;0;0;0;0;1823;0;0;0;0;0;0;0
Cerastium uniflorum;0;0;0;2500;2410;0;0;0;0;0;0;0;0;0
Chaerophyllum hirsutum;0;0;0;0;0;0;1823;0;0;0;1867;1206;0;0
Chamorchis alpina;0;0;0;0;0;0;0;0;2152;0;0;0;2061;0
Chrysosplenium alternifolium;0;0;2122;0;0;2096;0;0;0;0;1867;0;0;0
Cicerbita alpina;0;0;0;1725;0;0;0;0;0;0;1867;0;0;0
Circaea alpina;0;0;0;0;0;0;0;0;0;0;1867;1206;0;0
Cirsium erisithales;0;0;0;0;0;0;1823;0;0;0;0;1206;0;0
Cirsium helenioides;0;0;0;0;0;0;1823;0;0;0;0;0;0;0
Clematis alpina;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Cochlearia tatrae;0;0;0;0;2410;0;0;0;0;0;0;0;0;0
Coeloglossum viride;0;1704;2122;0;0;2096;1823;0;2152;0;0;0;2061;0
Corallorhiza trifida;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cortusa matthioli;0;0;0;0;0;0;0;0;0;0;0;0;2061;0
Cotoneaster integerrimus;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Crepis jacquinii;0;1704;0;0;0;0;1823;1825;0;0;0;1206;0;0
Crepis mollis;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crepis paludosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cruciata glabra;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Cystopteris alpina;0;0;2122;0;0;0;0;0;0;0;0;0;0;0
