Sla.C14;Kma.C14;Krz.C14;Rys.C14;Msc.C14;Cmi.C14;Gwr.C14;Gws.C14;Haw.C14;Sja.C14;Orn.C14;Nos.C14;Swi.C14;Kam.C14
Salix herbacea;2423;0;0;2500;2410;0;0;1894;0;2210;0;0;0;2126
Salix myrsinifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Salix reticulata;0;1704;2122;0;2251;2096;1823;1894;0;0;0;0;2061;0
Salix retusa;2240;0;2122;2500;2233;2096;1823;0;2152;2210;0;0;0;2126
Salix silesiaca;1887;1704;0;1623;0;0;1823;1894;2152;0;1867;1206;0;0
Saussurea alpina;0;0;0;0;0;0;1823;0;0;0;0;0;0;0
Saussurea pygmaea;0;0;0;0;0;0;0;0;0;2210;0;0;0;0
Saxifraga adscendens;0;0;0;0;0;0;0;1894;0;0;0;0;0;0
Saxifraga aizoides;0;1704;2122;0;0;2096;1823;1894;2152;0;0;0;0;0
Saxifraga androsacea;2360;0;0;2500;2410;0;0;0;0;0;0;0;0;0
Saxifraga bryoides;0;0;0;2500;2410;0;0;1894;0;2210;0;0;0;0
Saxifraga caesia;0;1704;0;0;0;0;0;1894;2152;0;0;0;2061;0
Saxifraga carpatica;2452;0;0;2500;2410;0;0;0;0;0;0;0;0;0
Saxifraga cernua;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saxifraga exarata subsp. moschata;0;0;2122;2500;2410;2096;1823;1894;2152;2210;0;0;2061;0
Saxifraga hieracifolia;0;0;0;2190;2410;0;0;0;0;2210;0;0;0;0
Saxifraga oppositifolia;0;0;2122;2500;2410;2096;1823;1894;2152;0;0;0;2061;2126
Saxifraga paniculata;0;1704;2112;0;0;2096;1823;1894;0;0;0;1206;2061;2126
Saxifraga retusa;0;0;0;2500;2410;0;0;0;0;0;0;0;0;2126
Saxifraga rosacea;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saxifraga wahlenbergii;0;0;2122;2500;2410;2096;0;0;0;0;0;0;2061;0
Scabiosa lucida;0;1704;0;0;0;0;1823;1894;2152;0;0;1206;2061;0
Scrophularia scopolii;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sedum alpestre;2452;0;0;2500;2410;0;0;1894;0;0;0;0;0;0
Sedum atratum;0;0;2122;0;0;2096;0;1894;2152;0;1867;0;2061;0
Sedum telephium subsp. fabaria;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Selaginella selaginoides;0;1704;2122;0;0;2096;1823;1894;0;0;0;0;0;0
Sempervivum montanum;2397;0;0;0;0;0;0;0;2152;2210;0;1206;2061;0
Senecio abrotanifolius subsp. carpathicus;0;0;0;0;0;0;0;0;0;2210;0;0;0;2126
Senecio incanus subsp. carniolicus;2420;0;0;2500;2410;0;0;0;0;0;0;0;0;0
Senecio integrifolius subsp. capitatus;2420;0;2116;0;0;0;1823;1825;2152;0;0;0;2061;0
Senecio nemorensis;0;0;0;1740;0;0;1823;0;0;0;1867;1206;0;0
Senecio rivularis;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Senecio subalpinus;0;0;0;0;0;2096;1823;0;0;0;1867;1206;0;0
Seseli libanotis;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Sesleria bielzii;0;0;2122;0;0;2096;0;0;2152;0;0;0;0;0
Sesleria sadlerana subsp. tatrae;0;0;0;0;0;0;1823;1894;0;0;0;0;0;0
Sesleria varia;0;1704;2122;0;0;0;0;0;0;0;0;1206;2061;0
Sibbaldia procumbens;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Silene acaulis;2440;1704;2122;2500;2410;2096;1823;1894;2152;2210;0;0;2061;0
Silene dioica;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Silene nutans;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Silene pusilla;0;0;0;0;0;0;1823;0;0;0;0;0;0;0
Silene vulgaris;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Soldanella carpatica;0;1704;2116;2053;2410;2096;1823;1894;2152;2210;1867;1206;2061;0
Solidago virgaurea;0;0;0;0;0;0;0;0;2152;0;0;0;0;0
Solidago virgaurea subsp. minuta;2143;1704;0;1765;2188;0;1823;1825;0;2210;1867;1206;2061;0
Sorbus aria;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Sorbus aucuparia subsp. glabrata;0;0;0;0;0;0;1823;0;0;0;1867;1206;0;0
Stellaria nemorum;0;0;2116;1740;0;2096;0;0;0;0;1867;0;0;0
Swertia perennis;0;1704;2122;0;0;2096;1823;1894;0;0;0;0;2061;0
Taraxacum officinale;0;1704;0;0;0;0;0;1894;0;0;1867;1206;0;0
Taraxacum Sect. Alpina;0;0;2122;2500;2410;2096;1823;0;2152;0;0;0;2061;0
Taraxacum Sect. Erythrosperma;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thalictrum aquilegiifolium;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Thalictrum minus;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thesium alpinum;0;0;0;0;0;0;1823;1825;0;0;0;1206;2061;0
Thymus alpestris;0;0;0;0;2410;0;1823;0;0;0;0;0;0;0
Thymus pulcherrimus;0;1704;2122;0;0;2096;0;1894;2152;0;0;0;2061;0
Thymus pulegioides;0;0;0;0;0;0;0;1894;0;0;0;1206;0;0
Tofieldia calyculata;0;1704;0;0;0;0;1823;1894;0;0;0;1206;0;0
Traunsteinera globosa;0;0;0;0;0;0;1823;1825;0;0;0;0;0;0
Trifolium badium;0;1704;0;0;0;0;0;1825;0;0;0;0;0;0
Trifolium pratense ;0;0;0;0;0;0;1823;0;0;0;0;1206;0;0
Trifolium repens;0;1704;0;0;0;0;0;0;0;0;0;1206;2061;0
Trisetum alpestre;0;0;0;0;0;0;0;0;2152;0;0;1206;0;0
Trisetum fuscum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trollius europaeus;0;0;0;0;0;2096;0;0;0;0;0;0;0;0
Trollius europaeus subsp. transsilvanicus;0;0;2116;0;0;0;0;0;0;0;0;0;0;0
Tussilago farfara;0;0;0;0;0;0;1823;1825;0;0;0;0;0;0
Urtica dioica;0;0;0;0;0;0;1823;1825;0;0;0;0;0;0
Vaccinium myrtillus;2333;1704;2116;2500;2188;2096;1823;1825;0;2210;1867;1206;0;2126
Vaccinium uliginosum;0;1704;0;0;0;0;0;0;0;0;1867;0;0;0
Vaccinium vitis-idaea;2240;1704;2116;2500;2188;2096;1823;1825;2152;0;1867;1206;2061;2126
Vaccinum uliginosum subsp. microphyllum;2223;0;0;2053;0;0;1823;0;2152;0;0;0;2061;0
Valeriana officinalis subsp. sambucifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Valeriana tripteris;0;0;0;1725;0;0;0;0;0;0;0;1206;0;0
Veratrum lobelianum;0;0;0;1840;1920;0;1823;0;0;0;1867;0;2061;0
Veronica alpina;2366;0;2122;2190;2410;0;0;0;0;0;0;0;0;0
Veronica aphylla;0;1704;2122;0;0;2096;1823;1894;2152;0;0;0;2061;0
Veronica chamaedrys;0;0;0;0;0;0;0;0;0;0;1867;0;0;0
Veronica fruticans;0;1704;0;0;0;0;0;0;0;0;0;0;0;0
Veronica serpyllifolia;0;0;0;0;0;0;0;0;0;0;1867;0;0;0
Viola alpina;0;0;2122;0;0;2096;1823;0;0;0;0;0;0;0
Viola biflora;0;1704;2122;1765;1989;2096;1823;1825;0;0;0;0;2061;0
Viola lutea;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Viola palustris;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Viola tricolor subsp. subalpina;0;0;0;0;0;0;0;0;0;0;0;0;0;0
