No	Species.name	L	T	K	F	R	Protected.species	Red.coded
131	Riccardia palmata	4	4	4	6	1		
132	Riccia fluitans		6	5	8	4		
133	Rosulabryum moravicum	5	5	5	5	6		
134	Sanionia uncinata			6	7	3		
135	Schistidium apocarpum	4		5	3	7		
136	Schistostega pennata	1	3	4	6	1		
137	Sciuro-hypnum oedipodium	3	4	7	6	3		
138	Sciuro-hypnum reflexum	4	2	6	5	4		
139	Sphagnum capillifolium		3	5	7	2	1	
140	Sphagnum centrale	6	3		7	1	1	
141	Sphagnum compactum	8	3	6	7	2	1	
142	Sphagnum fallax	7	3	6	7	2	1	
143	Sphagnum fimbriatum	5	3	6	7	2	1	
144	Sphagnum girgensohnii	4	2	6	7	1	1	
145	Sphagnum magellanicum	9	3	6	6	1	1	
146	Sphagnum palustre	6	4		6	2	1	
147	Sphagnum russowii	6	2	6	6	2	1	
148	Sphagnum squarrosum	5		5	7	3	1	
149	Sphagnum warnstorfii	7	2	6	8	3	1	
150	Straminergon stramineum	8	2	6	8	2		
151	Syntrichia ruralis	9		5	2	6		
152	Tetraphis pellucida	3	3	5	6	1		
153	Thuidium delicatulum	7	4	5	4	7	1	
154	Thuidium tamariscinum	4	4	4	6	4	1	
155	Tortula muralis	8	5	5	1			
156	Trichocolea tomentella	6	4	4	8	6	1	
157	Tritomaria exsecta	5	3	5	6	1		
158	Ulota crispa	4	3	5	6	3	1	3
159	Warnstorfia fluitans			6	8	1		
160	Zygodon rupestris	6	4	4	5	7	1	4
